PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
portibo01,Bobby Portis,PF,27,MIL,47,1258,376,18.6,0.571,0.302,0.124,10.2,28.2,19.5,10.6,0.8,0.7,9,21.8,1.9,2.1,3.9,0.149,1.6,-0.3,1.3,1,10843350,0,0,0,0,1
brogdma01,Malcolm Brogdon,PG,30,BOS,50,1264,400,18.4,0.622,0.42,0.265,3,14.9,9,22.4,1.2,0.9,12.2,23.3,2.7,1.5,4.2,0.158,2.6,0.2,2.8,1.5,22600000,0,0,0,1,0
powelno01,Norman Powell,SG,29,LAC,50,1292,400,18.1,0.623,0.414,0.387,1.7,11.6,6.7,11.1,1.6,1.1,10.7,25.9,2.1,1.3,3.4,0.126,1.7,-0.5,1.2,1,16758621,0,1,0,0,0
ballla01,LaMelo Ball,PG,21,CHO,33,1167,264,18,0.536,0.525,0.166,3.4,15.9,9.4,37.7,1.8,0.8,13.7,29.7,0.7,0.9,1.6,0.068,3.1,-1.1,1.9,1.2,8623920,0,0,0,1,0
nurkiju01,Jusuf Nurkic,C,28,POR,45,1227,360,18,0.598,0.226,0.381,9.8,30.2,20.1,16.1,1.6,2.8,17.5,22.3,1.3,1.6,2.9,0.113,-0.3,0.9,0.6,0.8,15625000,1,0,0,0,0
bogdabo02,Bojan Bogdanovic,PF,33,DET,56,1796,448,17.8,0.631,0.399,0.356,2,11,6.3,13.5,0.9,0.3,11.6,25.8,3.3,0.3,3.6,0.095,2.8,-1.9,0.9,1.3,19550000,0,0,0,0,1
edwaran01,Anthony Edwards,SG,21,MIN,61,2211,488,17.8,0.571,0.376,0.283,1.9,16.1,9.2,19.4,2.1,1.5,13.4,29.6,0.8,2.7,3.5,0.076,1.1,-0.1,1.1,1.7,10733400,0,1,0,0,0
wagnemo01,Moritz Wagner,C,25,ORL,38,799,304,17.8,0.63,0.433,0.454,7.6,18.1,12.8,12.2,1.8,1.1,12.2,20.9,1.7,0.9,2.6,0.157,0.7,0.4,1.1,0.6,1878720,1,0,0,0,0
okongon01,Onyeka Okongwu,C,22,ATL,57,1365,456,17.7,0.659,0.014,0.33,11.9,21.3,16.5,5.7,1.3,4.6,12,14.2,3,1.8,4.8,0.169,-0.8,0.8,0,0.7,6395160,1,0,0,0,0
adamsst01,Steven Adams,C,29,MEM,42,1133,336,17.6,0.564,0.004,0.49,19.9,25,22.5,11.2,1.5,3.6,19.8,14.4,1.3,2.1,3.4,0.145,-0.3,0.9,0.6,0.8,17926829,1,0,0,0,0
kornelu01,Luke Kornet,C,27,BOS,51,605,408,17.6,0.737,0.074,0.279,11.8,15,13.4,8.3,0.8,5.6,12.2,11.3,1.8,0.9,2.7,0.213,0,1.6,1.6,0.5,2133278,1,0,0,0,0
